,STEO.RGDPQ_NONOECD.M,STEO.RGDPQ_OECD.M,STEO.PAPR_NONOPEC.M,STEO.PAPR_OPEC.M,STEO.PATC_OECD.M,STEO.PATC_NON_OECD.M,STEO.COPRPUS.M,STEO.CORIPUS.M,PET.MCRIMXX2.M,STEO.FOREX_WORLD.M,STEO.PASC_OECD_T3.M,STEO.COPS_OPEC.M,STEO.COPC_OPEC.M,STEO.T3_STCHANGE_OOECD.M,STEO.T3_STCHANGE_NOECD.M,CPIENGSL,CAPG211S,CAPUTLG211S,IPG211S,IPG211111CN,INDPRO,IPN213111N,PCU211211,WTISPLC,forecast
1997-02-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1997-03-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1997-04-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1997-05-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1997-06-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1997-07-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1997-08-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1997-09-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1997-10-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1997-11-01,1,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1997-12-01,1,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1998-01-01,0,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1998-02-01,0,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1998-03-01,0,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1998-04-01,0,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1998-05-01,0,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1998-06-01,0,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1998-07-01,0,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1998-08-01,0,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1998-09-01,0,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1998-10-01,0,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1998-11-01,0,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1998-12-01,0,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1999-01-01,0,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1999-02-01,0,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1999-03-01,0,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1999-04-01,0,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1999-05-01,0,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1999-06-01,0,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1999-07-01,0,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1999-08-01,0,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1999-09-01,0,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1999-10-01,0,0,2,0,2,0,2,1,1,1,0,0,2,0,1,2,2,2,0,0,1,2,0,2,2
1999-11-01,0,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
1999-12-01,0,0,2,0,2,0,2,1,1,1,0,0,2,1,1,2,2,2,0,0,1,2,0,2,2
